set term gnuplot size 112,112
set grid back
unset key
set title "отпусти меня"
set xlabel "трава"
set ylabel "чудо"
plot '-' with lines lw 5.000000  lc rgb '#148800'
2.09 0
2.09013 0.000131327
2.09026 0.00026267
2.09039 0.000394029
2.09052 0.000525405
2.09065 0.000656796
2.09078 0.000788204
2.0909 0.000919627
2.09103 0.00105107
2.09115 0.00118252
2.09128 0.00131399
2.0914 0.00144547
2.09153 0.00157697
2.09165 0.00170849
2.09177 0.00184002
2.09189 0.00197156
2.09201 0.00210312
2.09213 0.00223469
2.09225 0.00236628
2.09237 0.00249788
2.09249 0.0026295
2.09261 0.00276113
2.09272 0.00289277
2.09284 0.00302443
2.09295 0.0031561
2.09307 0.00328778
2.09318 0.00341948
2.09329 0.00355119
2.09341 0.00368292
2.09352 0.00381465
2.09363 0.0039464
2.09374 0.00407816
2.09385 0.00420994
2.09396 0.00434172
2.09406 0.00447352
2.09417 0.00460533
2.09428 0.00473716
2.09439 0.00486899
2.09449 0.00500084
2.0946 0.00513269
2.0947 0.00526456
2.0948 0.00539644
2.0949 0.00552834
2.09501 0.00566024
2.09511 0.00579215
2.09521 0.00592408
2.09531 0.00605601
2.09541 0.00618796
2.09551 0.00631992
2.0956 0.00645188
2.0957 0.00658386
2.0958 0.00671585
2.09589 0.00684784
2.09599 0.00697985
2.09608 0.00711186
2.09618 0.00724389
2.09627 0.00737592
2.09636 0.00750797
2.09645 0.00764002
2.09654 0.00777208
2.09663 0.00790416
2.09672 0.00803623
2.09681 0.00816832
2.0969 0.00830042
2.09699 0.00843252
2.09707 0.00856464
2.09716 0.00869676
2.09724 0.00882889
2.09733 0.00896103
2.09741 0.00909317
2.09749 0.00922532
2.09758 0.00935748
2.09766 0.00948965
2.09774 0.00962182
2.09782 0.009754
2.0979 0.00988619
2.09798 0.0100184
2.09806 0.0101506
2.09813 0.0102828
2.09821 0.010415
2.09829 0.0105472
2.09836 0.0106795
2.09844 0.0108117
2.09851 0.0109439
2.09858 0.0110762
2.09866 0.0112084
2.09873 0.0113407
2.0988 0.0114729
2.09887 0.0116052
2.09894 0.0117375
2.09901 0.0118698
2.09908 0.012002
2.09915 0.0121343
2.09921 0.0122666
2.09928 0.0123989
2.09935 0.0125312
2.09941 0.0126635
2.09947 0.0127958
2.09954 0.0129281
2.0996 0.0130604
2.09966 0.0131927
2.09973 0.0133251
2.09979 0.0134574
2.09985 0.0135897
2.09991 0.0137221
2.09996 0.0138544
2.10002 0.0139867
2.10008 0.0141191
2.10014 0.0142514
2.10019 0.0143838
2.10025 0.0145161
2.1003 0.0146484
2.10036 0.0147808
2.10041 0.0149132
2.10046 0.0150455
2.10051 0.0151779
2.10056 0.0153102
2.10061 0.0154426
